sample_name	host_subject_id	sample_type	env_biome	env_feature	scientific_name	physical_specimen_remaining	investigation_type	dna_extracted	latitude	longitude	env_biom	elevation	amplification_method	collection_timestamp	taxon_id	physical_specimen_location	description
15.107.PNA	15.107.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-107, red alder leaves submerged in river water as part of a leaf pack experiment"
15.108.PNA	15.108.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-108, , red alder leaves submerged in river water as part of a leaf pack experiment"
15.109.PNA	15.109.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-109, red alder leaves submerged in river water as part of a leaf pack experiment"
15.110.PNA	15.110.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-110,  red alder leaves submerged in river water as part of a leaf pack experiment"
15.107.EMP	15.107.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-107, red alder leaves submerged in river water as part of a leaf pack experiment"
15.108.EMP	15.108.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-108, red alder leaves submerged in river water as part of a leaf pack experiment"
15.109.EMP	15.109.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-109, red alder leaves submerged in river water as part of a leaf pack experiment"
15.110.EMP	15.110.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-110, red alder leaves submerged in river water as part of a leaf pack experiment"
15.253.EMP	15.253.EMP	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	449393	Argonne National Labs	"15-253, riverwater "
15.254.EMP	15.254.EMP	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	449393	Argonne National Labs	"15-254, riverwater"
15.255.EMP	15.255.EMP	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	449393	Argonne National Labs	"15-255, riverwater"
15.256.EMP	15.256.EMP	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	449393	Argonne National Labs	"15-256, riverwater"
15.55.EMP	15.55.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-55, red alder leaves submerged in river water as part of a leaf pack experiment"
15.56.EMP	15.56.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-56, red alder leaves submerged in river water as part of a leaf pack experiment"
15.57.EMP	15.57.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-57, red alder leaves submerged in river water as part of a leaf pack experiment"
15.58.EMP	15.58.EMP	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	EMP	6/1/2013	109069	Argonne National Labs	"15-58, red alder leaves submerged in river water as part of a leaf pack experiment"
15.1501	15.1501	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1501, seawater"
15.1502	15.1502	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1502, seawater"
15.1503	15.1503	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1503, seawater"
15.1504	15.1504	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1504, seawater"
15.1505	15.1505	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1505, seawater"
15.1506	15.1506	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1506, seawater"
15.1507	15.1507	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1507, seawater"
15.1508	15.1508	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1508, seawater"
15.1509	15.1509	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1509, seawater"
15.1510	15.1510	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1510, seawater"
15.1511	15.1511	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1511, seawater"
15.1512	15.1512	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1512, seawater"
15.1513	15.1513	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1513, seawater"
15.1514	15.1514	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1514, seawater"
15.1515	15.1515	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1515, seawater"
15.1516	15.1516	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1516, seawater"
15.1517	15.1517	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1517, seawater"
15.1518	15.1518	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1518, seawater"
15.1519	15.1519	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1519, seawater"
15.1520	15.1520	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1520, seawater"
15.1521	15.1521	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1521, seawater"
15.1522	15.1522	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1522, seawater"
15.1523	15.1523	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1523, seawater"
15.1524	15.1524	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	PNA	6/1/2013	408172	Argonne National Labs	"15-1524, seawater"
15.253.PNA	15.253.PNA	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	449393	Argonne National Labs	"15-253, riverwater "
15.254.PNA	15.254.PNA	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	449393	Argonne National Labs	"15-254, riverwater"
15.255.PNA	15.255.PNA	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	449393	Argonne National Labs	"15-255, riverwater"
15.256.PNA	15.256.PNA	river water	freshwater river biome	forest	freshwater metagenome	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	449393	Argonne National Labs	"15-256, riverwater"
15.55.PNA	15.55.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-55, red alder leaves submerged in river water as part of a leaf pack experiment"
15.56.PNA	15.56.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-56, red alder leaves submerged in river water as part of a leaf pack experiment"
15.57.PNA	15.57.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-57, red alder leaves submerged in river water as part of a leaf pack experiment"
15.58.PNA	15.58.PNA	aquatic leaf	freshwater river biome	forest	Alnus rubra	FALSE	bacteria	TRUE	48.258217	-124.352386	river	0	PNA	6/1/2013	109069	Argonne National Labs	"15-58, red alder leaves submerged in river water as part of a leaf pack experiment"
C1501	C1501	seawater	marine biome	seawater	marine metagenome	FALSE	bacteria	TRUE	48.39	-124.74	marine	0	EMP	6/1/2013	408172	Argonne National Labs	"C1501, seawater"
